FriendlyName,Operation,Description
Approved disposal,ApproveDisposal,"For manual approval: A disposition reviewer approved the disposition of the item to move it to the next disposition stage. If the item was in the only or final stage of disposition review, the disposition approval marked the item as eligible for permanent deletion.  For autoapproval: No manual action was taken within the configured autoapproval time period so the item automatically moved to the next disposition stage. If the item was in the only or final stage of disposition review, the item automatically became eligible for permanent deletion."
Extended retention period,ExtendRetention,A disposition reviewer extended the retention period of the item.
Relabeled item,RelabelItem,A disposition reviewer relabeled the retention label.
Added reviewers,AddReviewer,A disposition reviewer added one or more other users to the current disposition review stage.
Added member to eDiscovery case  ,CaseMemberAdded  ,Add-ComplianceCaseMember  
Changed content search  ,SearchUpdated  ,Set-ComplianceSearch  
Changed eDiscovery administrator membership  ,CaseAdminUpdated  ,Update-eDiscoveryCaseAdmin
Changed eDiscovery case  ,CaseUpdated  ,Set-ComplianceCase
Changed eDiscovery case membership  ,CaseMemberUpdated  ,Update-ComplianceCaseMember
Changed search permissions filter  ,SearchPermissionUpdated  ,Set-ComplianceSecurityFilter
Changed search query for eDiscovery case hold  ,HoldUpdated  ,Set-CaseHoldRule
Content search preview item downloaded  ,PreviewItemDownloaded  ,N/A
Content search preview item listed  ,PreviewItemListed  ,N/A
Created content search  ,SearchCreated  ,New-ComplianceSearch
Created eDiscovery administrator  ,CaseAdminAdded  ,Add-eDiscoveryCaseAdmin
Created eDiscovery case  ,CaseAdded  ,New-ComplianceCase
Created search permissions filter  ,SearchPermissionCreated  ,New-ComplianceSecurityFilter
Created search query for eDiscovery case hold  ,HoldCreated  ,New-CaseHoldRule
Deleted content search  ,SearchRemoved  ,Remove-ComplianceSearch
Deleted eDiscovery administrator  ,CaseAdminRemoved  ,Remove-eDiscoveryCaseAdmin
Deleted eDiscovery case  ,CaseRemoved  ,Remove-ComplianceCase
Deleted search permissions filter  ,SearchPermissionRemoved  ,Remove-ComplianceSecurityFilter
Deleted search query for eDiscovery case hold  ,HoldRemoved  ,Remove-CaseHoldRule
Downloaded export of content search  ,SearchExportDownloaded  ,N/A
Previewed results of content search  ,SearchPreviewed  ,N/A
Purged results of content search  ,SearchResultsPurged  ,New-ComplianceSearchAction
Removed analysis of content search  ,RemovedSearchResultsSentToZoom  ,Remove-ComplianceSearchAction
Removed export of content search  ,RemovedSearchExported  ,Remove-ComplianceSearchAction
Removed member from eDiscovery case  ,CaseMemberRemoved  ,Remove-ComplianceCaseMember
Removed preview results of content search  ,RemovedSearchPreviewed  ,Remove-ComplianceSearchAction
Removed purge action performed on content search  ,RemovedSearchResultsPurged  ,Remove-ComplianceSearchAction
Removed search report  ,SearchReportRemoved  ,Remove-ComplianceSearchAction
Started analysis of content search  ,SearchResultsSentToZoom  ,New-ComplianceSearchAction
Started content search  ,SearchStarted  ,Start-ComplianceSearch
Started export of content search  ,SearchExported  ,New-ComplianceSearchAction
Started export report  ,SearchReport  ,New-ComplianceSearchAction
Stopped content search  ,SearchStopped  ,Stop-ComplianceSearch
(none),CaseViewed,Get-ComplianceCase
(none),SearchViewed,Get-ComplianceSearch
(none),ViewedSearchExported,Get-ComplianceSearchAction -Export
(none),ViewedSearchPreviewed,Get-ComplianceSearchAction -Preview
Added data to another review set,AddWorkingSetQueryToWorkingSet,User added documents from one review set to a different review set.
Added data to review set,AddQueryToWorkingSet,User added the search results from a content search associated with an eDiscovery (Premium) case to a review set.
Added non-Microsoft 365 data to review set,AddNonOffice365DataToWorkingSet,User added non-Microsoft 365 data to a review set.
Added remediated documents to review set,AddRemediatedData,User uploads documents that had indexing errors that were fixed to a review set.
Analyzed data in review set,RunAlgo,User ran  analytics on the  documents in a review set.
Annotated document in review set,AnnotateDocument,User annotated a document in a review set. Annotation includes redacting content in a document.
Compared load sets,LoadComparisonJob,User compared two different load sets in a review set. A load set is when data from a content search that associated with the case is added to a review set.
Converted redacted documents to PDF,BurnJob,User converted all the redacted documents in a review set to PDF files.
Created review set,CreateWorkingSet,User created a review set.
Created review set search,CreateWorkingSetSearch,User created a search query that searches the documents in a review set.
Created tag,CreateTag,User created a tag group in a review set. A tag group can contain one or more child tags. These tags are then used to tag documents in the review set.
Deleted review set search,DeleteWorkingSetSearch,User deleted a search query in a review set.
Deleted tag,DeleteTag,User deleted a tag or a tag group in a review set.
Downloaded document,DownloadDocument,User downloaded a document from a review set.
Edited tag,UpdateTag,User changed a tag in a review set.
Exported documents from review set,ExportJob,User exported documents from a review set.
Modified case setting,UpdateCaseSettings,"User modified the settings for a case. Case settings include case information, access permissions, and settings that control search and analytics behavior."
Modified review set search,UpdateWorkingSetSearch,User edited a search query in a review set.
Previewed review set search,PreviewWorkingSetSearch,User previewed the results of a search query in a review set.
Remediated error documents,ErrorRemediationJob,User fixes files that contained indexing errors.
Tagged document,TagFiles,User tags a document in a review set.
Tagged results of a query,TagJob,User tags all of the documents that match the criteria of search query in a review set.
Viewed document in review set,ViewDocument,User viewed a document in a review set.
Created hold in eDiscovery case  ,New-CaseHoldPolicy ,"A hold was created for an eDiscovery case. A hold can be created with or without specifying a content source. If content sources are specified, they're identified in the audit log entry.  "
Deleted hold from eDiscovery case  ,Remove-CaseHoldPolicy ,A hold that is associated with an eDiscovery case was deleted. Deleting a hold releases all of the content locations from the hold. Deleting the hold also results in deleting the case hold rules associated with the hold (see Remove-CaseHoldRule).
Changed hold in eDiscovery case  ,Set-CaseHoldPolicy ,A hold that is associated with an eDiscovery was changed. Possible changes include adding or removing content locations or turning off (disabling) the hold.
Created search query for eDiscovery case hold  ,New-CaseHoldRule ,A query-based hold associated with an eDiscovery case was created.
Deleted search query for eDiscovery case hold  ,Remove-CaseHoldRule ,"A query-based hold associated with an eDiscovery case was deleted. Removing the query from the hold is often the result of deleting a hold. When a hold or a hold query is deleted, the content locations that were on hold are released.  "
Changed search query for eDiscovery case hold  ,Set-CaseHoldRule ,A query-based hold associated with an eDiscovery case was changed. Possible changes include editing the query or date range for a query-based hold.
Created eDiscovery case  ,New-ComplianceCase ,"An eDiscovery case was created. When a case is created, you only have to give it a name. Other case-related tasks such as adding members, creating holds, and creating content searches associated with the case result in additional events being logged.  "
Deleted eDiscovery case  ,Remove-ComplianceCase ,An eDiscovery case was deleted. Any hold associated with the case has to be removed before the case can be deleted.
Changed eDiscovery case  ,Set-ComplianceCase ,An eDiscovery case was changed. Changes include closing an open case or reopening a closed case.
Added member to eDiscovery case  ,Add-ComplianceCaseMember ,"A user was added as a member of an eDiscovery case. As a member of a case, a user can perform various case-related tasks depending on whether they've been assigned the necessary permissions.  "
Removed member from eDiscovery case  ,Remove-ComplianceCaseMember ,A user was removed as a member of an eDiscovery case.
Changed eDiscovery case membership  ,Update-ComplianceCaseMember ,"The membership list of an eDiscovery case was changed. This activity is logged when all members are replaced with a group of new users. If a single member is added or removed, the Add-ComplianceCaseMember or Remove-ComplianceCaseMember operation is logged.  "
Created content search  ,New-ComplianceSearch ,A new content search was created.
Deleted content search  ,Remove-ComplianceSearch ,An existing content search was deleted.
Changed content search  ,Set-ComplianceSearch ,An existing content search was changed. Changes can include adding or removing content locations that are searched and editing the search query.
Started content search  ,Start-ComplianceSearch ,"A content search was started. When you create or change a content search by using the compliance portal GUI, the search is automatically started. If you create or change a search by using the New-ComplianceSearch or Set-ComplianceSearch cmdlet, you have to run the Start-ComplianceSearch cmdlet to start the search.  "
Stopped content search  ,Stop-ComplianceSearch ,A content search that was running was stopped.
Created content search action  ,New-ComplianceSearchAction ,"A content search action was created. Content search actions include previewing search results, exporting search results, preparing search results for analysis in eDiscovery (Premium), and permanently deleting items that match the search criteria of a content search.  "
Deleted content search action  ,Remove-ComplianceSearchAction ,A content search action was deleted.
Created search permissions filter  ,New-ComplianceSecurityFilter ,A search permissions filter was created.
Deleted search permissions filter  ,Remove-ComplianceSecurityFilter ,A search permissions filter was deleted.
Changed search permissions filter  ,Set-ComplianceSecurityFilter ,A search permissions filter was changed.
Created eDiscovery administrator  ,Add-eDiscoveryCaseAdmin ,A user was added as an eDiscovery Administrator in your organization.
Deleted eDiscovery administrator  ,Remove-eDiscoveryCaseAdmin ,An eDiscovery Administrator was deleted from your organization.
Changed eDiscovery administrator membership  ,Update-eDiscoveryCaseAdmin ,"The list of eDiscovery Administrators in your organization was changed. This activity is logged when the list of eDiscovery Administrators is replaced with a group of new users. If a single user is added or removed, the Add-eDiscoveryCaseAdmin or Remove-eDiscoveryCaseAdmin operation is logged.  "
(none),Get-ComplianceCase ,"This activity is logged when a user viewed a list of eDiscovery (Standard) or eDiscovery (Premium) cases. This activity is also logged when a user views a specific case in eDiscovery (Standard). When a user views a specific case, the audit record includes the identity of the case that was viewed. If the user only viewed a list of cases, the audit record doesn't contain a case identity."
(none),Get-ComplianceSearch,"This activity is logged when a user viewed a list of Content searches or searches associated with an eDiscovery (Standard) case. This activity is also logged when a user views a specific Content search or views a specific search associated with an eDiscovery (Standard) case. When a user views a specific search, the audit record includes the identity of the search that was viewed. If the user only viewed a list of searches, the audit record doesn't contain a search identity."
(none),Get-ComplianceSearchAction,"This activity is logged when a user viewed a list of compliance search actions (such as exports, previews, or purges) or actions associated with an eDiscovery (Standard) case. This activity is also logged when a user views a specific compliance search action (such as an export) or views a specific action associated with an eDiscovery (Standard) case. When a user views a search action, the audit record includes the identity of the search action that was viewed. If the user only viewed a list of actions, the audit record doesn't contain an action identity."
Accessed mailbox items,MailItemsAccessed,Messages were read or accessed in mailbox. Audit records for this activity are triggered in one of two ways: when a mail client (such as Outlook) performs a bind operation on messages or when mail protocols (such as Exchange ActiveSync or IMAP) sync items in a mail folder. Analyzing audit records for this activity is useful when investigating compromised email account.
Added delegate mailbox permissions,Add-MailboxPermission,"An administrator assigned the FullAccess mailbox permission to a user (known as a delegate) to another person's mailbox. The FullAccess permission allows the delegate to open the other person's mailbox, and read and manage the contents of the mailbox. The audit record for this activity is also generated when a system account in the Microsoft 365 service periodically performs maintenance tasks in behalf of your organization. A common task performed by a system account is updating the permissions for system mailboxes. For more information, see System accounts in Exchange mailbox audit records."
Added or removed user with delegate access to calendar folder,UpdateCalendarDelegation,A user was added or removed as a delegate to the calendar of another user's mailbox. Calendar delegation gives someone else in the same organization permissions to manage the mailbox owner's calendar.
Added permissions to folder,AddFolderPermissions,A folder permission was added. Folder permissions control which users in your organization can access folders in a mailbox and the messages located in those folders.
Copied messages to another folder,Copy,A message was copied to another folder.
Created mailbox item,Create,"An item is created in the Calendar, Contacts, Notes, or Tasks folder in the mailbox. For example, a new meeting request is created. Creating, sending, or receiving a message isn't audited. Also, creating a mailbox folder isn't audited."
Created new inbox rule in Outlook web app,New-InboxRule,A mailbox owner or other user with access to the mailbox created an inbox rule in the Outlook web app.
Deleted messages from Deleted Items folder,SoftDelete,A message was permanently deleted or deleted from the Deleted Items folder. These items are moved to the Recoverable Items folder. Messages are also moved to the Recoverable Items folder when a user selects it and presses Shift+Delete.
Labeled message as a record,ApplyRecordLabel,A message was classified as a record. Occurs when a retention label that classifies content as a record is manually or automatically applied to a message.
Moved messages to another folder,Move,A message was moved to another folder.
Moved messages to Deleted Items folder,MoveToDeletedItems,A message was deleted and moved to the Deleted Items folder.
Modified folder permission,UpdateFolderPermissions,A folder permission was changed. Folder permissions control which users in your organization can access mailbox folders and the messages in the folder.
Modified inbox rule from Outlook web app,Set-InboxRule,A mailbox owner or other user with access to the mailbox modified an inbox rule using the Outlook web app.
Purged messages from the mailbox,HardDelete,A message was purged from the Recoverable Items folder (permanently deleted from the mailbox).
Removed delegate mailbox permissions,Remove-MailboxPermission,"An administrator removed the FullAccess permission (that was assigned to a delegate) from a person's mailbox. After the FullAccess permission is removed, the delegate can't open the other person's mailbox or access any content in it."
Removed permissions from folder,RemoveFolderPermissions,A folder permission was removed. Folder permissions control which users in your organization can access folders in a mailbox and the messages located in those folders.
Sent message,Send,"A message was sent, replied to or forwarded."
Sent message using Send As permissions,SendAs,A message was sent using the SendAs permission. This means that another user sent the message as though it came from the mailbox owner.
Sent message using Send On Behalf permissions,SendOnBehalf,A message was sent using the SendOnBehalf permission. This means that another user sent the message on behalf of the mailbox owner. The message indicates to the recipient whom the message was sent on behalf of and who actually sent the message.
Updated inbox rules from Outlook client,UpdateInboxRules,"A mailbox owner or other user with access to the mailbox created, modified, or removed an inbox rule by using the Outlook client."
Updated message,Update,A message or its properties was changed.
User signed in to mailbox,MailboxLogin,The user signed in to their mailbox.
Label message as a record,,A user applied a retention label to an email message and that label is configured to mark the item as a record.
Accessed file,FileAccessed,"User or system account accesses a file. Once a user accesses a file, the FileAccessed event isn't logged again for the same user for same file for the next five minutes."
(none),FileAccessedExtended,"This is related to the ""Accessed file"" (FileAccessed) activity. A FileAccessedExtended event is logged when the same person continually accesses a file for an extended period (up to 3 hours).  The purpose of logging FileAccessedExtended events is to reduce the number of FileAccessed events that are logged when a file is continually accessed. This helps reduce the noise of multiple FileAccessed records for what is essentially the same user activity, and lets you focus on the initial (and more important) FileAccessed event."
Changed retention label for a file,ComplianceSettingChanged,A retention label was applied to or removed from a document. This event is triggered when a retention label is manually or automatically applied to a message.
Changed record status to locked,LockRecord,The record status of a retention label that classifies a document as a record was locked. This means the document can't be modified or deleted. Only users assigned at least the contributor permission for a site can change the record status of a document.
Changed record status to unlocked,UnlockRecord,The record status of a retention label that classifies a document as a record was unlocked. This means that the document can be modified or deleted. Only users assigned at least the contributor permission for a site can change the record status of a document.
Checked in file,FileCheckedIn,User checks in a document that they checked out from a document library.Checked out file
Copied file,FileCopied,User copies a document from a site. The copied file can be saved to another folder on the site.
Deleted file,FileDeleted,User deletes a document from a site.
Deleted file from recycle bin,FileDeletedFirstStageRecycleBin,User deletes a file from the recycle bin of a site.
Deleted file from second-stage recycle bin,FileDeletedSecondStageRecycleBin,User deletes a file from the second-stage recycle bin of a site.
Deleted file marked as a record,RecordDelete,A document or email that was marked as a record was deleted. An item is considered a record when a retention label that marks items as a record is applied to content.
Detected document sensitivity mismatch,DocumentSensitivityMismatchDetected,"User uploads a document to a site that's protected with a sensitivity label and the document has a higher priority sensitivity label than the sensitivity label applied to the site. For example, a document labeled Confidential is uploaded to a site labeled General.  This event isn't triggered if the document has a lower priority sensitivity label than the sensitivity label applied to the site. For example, a document labeled General is uploaded to a site labeled Confidential. For more information about sensitivity label priority, see Label priority (order matters)."
Detected malware in file,FileMalwareDetected,SharePoint anti-virus engine detects malware in a file.
Discarded file checkout,FileCheckOutDiscarded,"User discards (or undoes) a checked out file. That means any changes they made to the file when it was checked out are discarded, and not saved to the version of the document in the document library."
Downloaded file,FileDownloaded,User downloads a document from a site.
Modified file,FileModified,User or system account modifies the content or the properties of a document on a site. The system waits five minutes before it logs another FileModified event when the same user modifies the content or properties of the same document.
(none),FileModifiedExtended,"This is related to the ""Modified file"" (FileModified) activity. A FileModifiedExtended event is logged when the same person continually modifies a file for an extended period (up to 3 hours).  The purpose of logging FileModifiedExtended events is to reduce the number of FileModified events that are logged when a file is continually modified. This helps reduce the noise of multiple FileModified records for what is essentially the same user activity, and lets you focus on the initial (and more important) FileModified event."
Moved file,FileMoved,User moves a document from its current location on a site to a new location.
(none),FilePreviewed,"User previews files on a SharePoint or OneDrive for Business site. These events typically occur in high volumes based on a single activity, such as viewing an image gallery."
Performed search query,SearchQueryPerformed,"User or system account performs a search in SharePoint or OneDrive for Business. Some common scenarios where a service account performs a search query include applying an eDiscovery holds and retention policy to sites and OneDrive accounts, and autoapplying retention or sensitivity labels to site content."
Recycled a file,FileRecycled,User moves a file into the SharePoint Recycle Bin.
Recycled a folder,FolderRecycled,User moves a folder into the SharePoint Recycle Bin.
Recycled all minor versions of file,FileVersionsAllMinorsRecycled,User deletes all minor versions from the version history of a file. The deleted versions are moved to the site's recycle bin.
Recycled all versions of file,FileVersionsAllRecycled,User deletes all versions from the version history of a file. The deleted versions are moved to the site's recycle bin.
Recycled version of file,FileVersionRecycled,User deletes a version from the version history of a file. The deleted version is moved to the site's recycle bin.
Renamed file,FileRenamed,User renames a document.
Restored file,FileRestored,User restores a document from the recycle bin of a site.
Uploaded file,FileUploaded,User uploads a document to a folder on a site.
Viewed page,PageViewed,"User views a page on a site. This doesn't include using a Web browser to view files located in a document library. Once a user views a page, the PageViewed event isn't logged again for the same user for same page for the next five minutes."
(none),PageViewedExtended,"This is related to the ""Viewed page"" (PageViewed) activity. A PageViewedExtended event is logged when the same person continually views a web page for an extended period (up to 3 hours).  The purpose of logging PageViewedExtended events is to reduce the number of PageViewed events that are logged when a page is continually viewed. This helps reduce the noise of multiple PageViewed records for what is essentially the same user activity, and lets you focus on the initial (and more important) PageViewed event."
View signaled by client,ClientViewSignaled,"A user's client (such as website or mobile app) has signaled that the indicated page has been viewed by the user. This activity is often logged following a PagePrefetched event for a page. NOTE: Because ClientViewSignaled events are signaled by the client, rather than the server, it's possible the event may not be logged by the server and therefore may not appear in the audit log. It's also possible that information in the audit record may not be trustworthy. However, because the user's identity is validated by the token used to create the signal, the user's identity listed in the corresponding audit record is accurate. The system waits five minutes before it logs the same event when the same user's client signals that the page has been viewed again by the user."
(none),PagePrefetched,"A user's client (such as website or mobile app) has requested the indicated page to help improve performance if the user browses to it. This event is logged to indicate that the page content has been served to the user's client. This event isn't a definitive indication that the user navigated to the page.  When the page content is rendered by the client (as per the user's request) a ClientViewSignaled event should be generated. Not all clients support indicating a prefetch, and therefore some prefetched activities might instead be logged as PageViewed events."
Copied folder,FolderCopied,User copies a folder from a site to another location in SharePoint or OneDrive for Business.
Created folder,FolderCreated,User creates a folder on a site.
Deleted folder,FolderDeleted,User deletes a folder from a site.
Deleted folder from recycle bin,FolderDeletedFirstStageRecycleBin,User deletes a folder from the recycle bin on a site.
Deleted folder from second-stage recycle bin,FolderDeletedSecondStageRecycleBin,User deletes a folder from the second-stage recycle bin on a site.
Modified folder,FolderModified,"User modifies a folder on a site. This includes changing the folder metadata, such as changing tags and properties."
Moved folder,FolderMoved,User moves a folder to a different location on a site.
Renamed folder,FolderRenamed,User renames a folder on a site.
Restored folder,FolderRestored,User restores a deleted folder from the recycle bin on a site.
Changed AppBypassInformationBarrier setting for the tenant,AppBypassInformationBarrier,A SharePoint or global administrator has changed apps access for SharePoint sites.
Applied information barrier mode to site,SiteIBModeSet,A SharePoint or global administrator has applied a mode to the site.
Applied segments to site,SiteIBSegmentsSet,"A SharePoint, global administrator, or site owner added one or more information barriers segments to a site."
Changed information barrier mode of site,SiteIBModeChanged,A SharePoint or global administrator has updated the mode of the site.
Changed segments of site,SiteIBSegmentsChanged,A SharePoint or global administrator changed one or more information barriers segments for a site.
Disabled information barriers for SharePoint and OneDrive,SPOIBIsDisabled,A SharePoint or global administrator has disabled information barriers for SharePoint and OneDrive in the organization.
Enabled information barriers for SharePoint and OneDrive,SPOIBIsEnabled,A SharePoint or global administrator has disabled information barriers for SharePoint and OneDrive in the organization.
Information barriers insights report completed,InformationBarriersInsightsReportCompleted,System completes build of the information barriers insights report.
Information barriers insights report OneDrive section queried,InformationBarriersInsightsReportOneDriveSectionQueried,An administrator queries the information barriers insights report for OneDrive accounts.
Information barriers insights report scheduled,InformationBarriersInsightsReportSchedule,An administrator schedules the information barriers insights report.
Information barriers insights report SharePoint section queried,InformationBarriersInsightsReportSharePointSectionQueried,An administrator queries the information barriers insights report for Sharepoint sites.
Removed segment from site,SiteIBSegmentsRemoved,A SharePoint or global administrator removed one or more information barriers segments from a site.
Downloaded offboarding package,DownloadOffboardingPkg,Downloaded the package used to remove devices from Defender for Endpoint.
Downloaded onboarding package,DownloadOnboardingPkg,Downloaded the package used to onboard devices to Defender for Endpoint.
Changed data retention,ChangeDataRetention,Edited the data retention settings for Defender for Endpoint.
Set advanced features,SetAdvancedFeatures,"Changed advanced features in Defender for Endpoint, enabling more precise controls during an incident. Only settings for advanced features that are generally available are logged in the Microsoft 365 audit log."
Added indicator,AddIndicator,Created a new Indicator of compromise you can use to track attacks and events.
Edited indicator,EditIndicator,Edited an Indicator of compromise.
Deleted indicator,DeleteIndicator,Removed an Indicator of compromise.
Collected investigation package,CollectInvestigationPackage,Collected information about a device that's used to understand attack tools and techniques.
Ran Antivirus scan,RunAntiVirusScan,Ran Microsoft Defender Antivirus scan on a device.
Restricted app execution,RestrictAppExecution,Prevent a malicious app from running.
Removed app restrictions,RemoveAppRestrictions,Allow an app to run.
Isolated device,IsolateDevice,"Isolated a device from the network, helping prevent attacks from spreading."
Released from isolation,ReleaseFromIsolation,Added an isolated device back onto the network.
Stopped and quarantined file,StopAndQuarantineFile,Quarantined a suspicious file for further analysis.
Downloaded file,DownloadFile,Downloaded a suspicious file for further investigation.
Offboarded device,DeviceOffBoarding,Removed a device from Defender for Endpoint.
Ran Live response API,RunLiveResponseApi,"Opened a Live response session via an API call, opening a remote shell into a device."
Collected Logs,LogsCollection,Collected log information about Defender for Endpoint.
Ran get Live response file link,LiveResponseGetFile,"Opened a Live response session, opening a remote shell into a device."
Ran Live response session,RunLiveResponseSession,"Ran a Live response session, opening a remote shell into a device."
AddRole,Added role,Added new security role and permissions.
EditRole,Edited role,Edited security roles and permissions.
DeleteRole,Deleted role,Removed security roles and permissions.
Defender Experts analyst permission created,DefenderExpertsAnalystPermissionCreated,An administrator granted one or more role permissions to Defender Experts analysts to investigate incidents or remediate threats.
Defender Experts analyst permission modified,DefenderExpertsAnalystPermissionModified,An administrator modified role permissions for Defender Experts analysts to investigate incidents or remediate threats.
Updated entity tags,TaggingConfigurationUpdated,A tag was added or removed from an entity.
Added exclusions configuration,ExclusionConfigurationAdded,A global exclusion was added for an alert or for an entity.
Updated exclusions configuration,ExclusionConfigurationUpdated,A global exclusion was updated for an alert or for an entity.
Deleted exclusions configuration,ExclusionConfigurationDeleted,A global exclusion was deleted for an alert or for an entity.
Updated alert threshold configuration,WorkspaceAlertThresholdLevelUpdated,The alerts thresholds configuration was updated.
Downloaded security alert Excel,AlertExcelDownloaded,The detailed Excel file of an alert was downloaded.
Added remediation action,RemediationActionAdded,A remediation action was added to the queue.
Updated remediation action,RemediationActionUpdated,A remediation action was completed.
Updated sensor configuration,SensorConfigurationUpdated,A sensor's configuration was updated.
Added sensor,SensorCreated,A new sensor was added.
Removed sensor,SensorDeleted,A sensor was deleted.
Retrieved sensor deployment key,SensorDeploymentAccessKeyReceived,The sensors access key was retrieved.
Regenerated sensor deployment key,SensorDeploymentAccessKeyUpdated,The sensors access key was regenerated.
Downloaded Domain Controller coverage Excel,DomainControllerCoverageExcelDownloaded,The Domain Controller coverage Excel file was downloaded.
Updated directory services account configuration,DirectoryServicesAccountConfigurationUpdated,The Directory services accounts set was modified.
Updated remediation action configuration,RemediationActionConfigurationUpdated,The Manage action accounts set was modified.
Updated entity remediation configuration,EntityRemediatorConfigurationUpdated,The Manage action accounts mode was modified.
Updated health issue,MonitoringAlertUpdated,A health issue was modified.
Downloaded report,ReportDownloaded,A report was downloaded.
Updated reporter configuration,ReporterConfigurationUpdated,A report's scheduling was modified.
Updated syslog forwarding configuration,SyslogServiceConfigurationUpdated,The syslog forwarding configuration was modified.
Updated security notification configuration,NotificationConfigurationUpdated,The security alerts or health issues notifications configuration was modified.
Added alert notification recipient,AlertNotificationsRecipientAdded,A recipient was added to the security alerts notification configuration.
Deleted alert notification recipient,AlertNotificationsRecipientDeleted,A recipient was removed from the security alerts notification configuration.
Added health issues notification recipient,MonitoringAlertNotificationRecipientAdded,A recipient was added to the health issues notification configuration.
Deleted health issues notification recipient,MonitoringAlertNotificationRecipientDeleted,A recipient was removed from the heath issues notification configuration.
Updated VPN configuration,VpnConfigurationUpdated,The VPN (radius accounting) configuration was modified.
Updated Unified RBAC configuration,URbacAuthorizationStatusChanged,The Unified Role Based Access Control configuration was modified.
Created workspace,WorkspaceCreated,The workspace was created.
Deleted workspace,WorkspaceDeleted,The workspace was deleted.
Created custom detection rule,CreateCustomDetection,A new custom detection rule was created.
Edited custom detection rule,EditCustomDetection,A custom detection rule was modified.
Changed custom detection rule status,ChangeCustomDetectionRuleStatus,A custom detection rule was turned off or on.
Ran custom detection rule,RunCustomDetection,A custom detection rule was manually run.
Deleted custom detection rule,DeleteCustomDetection,A custom detection rule was removed.
Added comment to incident,AddCommentToIncident.,Added comment to incident.
Assigned user to incident,AssignUserToIncident,Assigned user to incident.
Unassigned user to incident,UnAssignUserFromIncident,Unassigned user to incident.
Updated incidents status,UpdateIncidentStatus,Updated incidents status.
Edit incident classification,EditIncidentClassification,Edit incident classification.
Added tags to incident,AddTagsToIncident,Added tags to incident.
Removed tags from incident,RemoveTagsFromIncident,Removed tags from incident.
Created suppression rule,CreateSuppressionRule,Created alert suppression rule.
Edited suppression rule,EditSuppressionRule,Deleted alert suppression rule.
Enabled suppression rule,EnableSuppressionRule,Enabled alert suppression rule.
Disabled suppression rule,DisableSuppressionRule,Disabled alert suppression rule.
Deleted suppression rule,DeleteSuppressionRule,Deleted alert suppression rule.
Added group,Add group.,A group was created.
Added member to group,Add member to group.,A member was added to a group.
Deleted group,Delete group.,A group was deleted.
Removed member from group,Remove member from group.,A member was removed from a group.
Updated group,Update group.,A property of a group was changed.
Created comment,CreateComment,Form owner adds comment or score to a quiz.
Created form,CreateForm,Form owner creates a new form. Property DataMode:string indicates the current form is set to sync with a new or existing Excel workbook if the property value equals DataSync. Property ExcelWorkbookLink:string indicates the associated Excel workbook ID of the current form.
